Case Description,Category,label
I need advice because false information about me was posted publicly.,General,2
A criminal case was filed for forging and circulating fake contracts.,Commercial,1
The partners failed to settle their company dispute through mediation.,Commercial,1
I need legal help after my employer failed to follow the contract.,Commercial,1
Workplace injury — employee wants fair compensation.,General,2
What are my options if my family refuses to divide inheritance fairly?,Personal Status,0
What should I do if I see illegal construction in a public area?,General,2
A case was reported after environmental damage contaminated the neighborhood’s air.,General,2
The company filed a lawsuit accusing its partner of commercial fraud.,Commercial,1
The case involves inheritance division among family members.,Personal Status,0
The suspect denied all accusations of violence made against him.,General,2
A case was filed after he committed a driving offense that endangered others.,General,2
"After the accident, both drivers are arguing about who is responsible for the costs.",General,2
A complaint was filed regarding stolen property from a private residence.,General,2
A health risk was detected after abandoned materials began releasing toxic fumes.,General,2
I’m abroad and lost my passport — what’s the legal process to get a new one?,General,2
A dispute arose regarding custodianship rights after the father’s death.,Personal Status,0
The employee filed an injury claim after getting hurt at the workplace.,Commercial,1
I’m seeking legal advice about claiming compensation after an uninsured accident.,General,2
Authorities rejected the application due to similarities with an existing patent.,Commercial,1
The court reviewed evidence of extortion against a local resident.,General,2
I want to take action against a client for violating our software deal.,Commercial,1
"The wife demanded khula, offering to return the dowry.",Personal Status,0
